Company,%Back,,Key,
Walgreens,3,,Found in dataset,Not found in dataset
Wine Shop,6,,,
Macys,5,,,
Overstick,5,,,
JCPenny,7,,,
Expedia,5,,,
Grubhub,8,,,
Priceline,8,,,
Groupon,8,,,
Sephore,4,,,
Hotels.com,4,,,
Ulta,6,,,
HSN,3,,,
GAP,4,,,
GAP Factory,5,,,
J.Crew,6,,,
Vistaprint 8,8,,,
Anthropologie,5,,,
TireRack.com,5,,,
Belk,5,,,
Best Western,7,,,
Vitacost.com,9,,,
Michaels ,6,,,
Academny,5,,,
American Eagle,6,,,
Bloomingdales,6,,,
Lulus,5,,,
Quill.com,5,,,
Dyson,2,,,
Hotwire,5,,,
l.l.Bean,5,,,
Adidas,8,,,
Shop Disney,5,,,
J.Crew Factory,6,,,
Asos,4,,,
Saks Fifth Avenue,5,,,
Cheap Q Air,$24,,,
Advance Auto Parts,6,,,
Madewell,8,,,
paramount+,12,,,
LTD Commodities,6,,,
Travelocity,5,,,
The Lakeside Collection,5,,,
Xfinity,$162,,,
Orbitz ,5,,,
Newark,6,,,
Edible Arrangements,5,,,
Custom Ink,6,,,